linguagem,tipo_api,carga,usuarios,spawn_rate,Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
java,graphql,pesado,300,75,,Aggregated,8807,0,4,7.499160979788844,1.7590869999821734,111.31115299997418,91.0,148.87019501222454,0.0,4,5,7,7,11,17,74,87,100,110,110
kotlin,graphql,pesado,300,75,POST,playlistsDoUsuario,2179,0,4,7.263348816430807,1.7763060000106634,96.45635700007917,91.0,36.83658683089264,0.0,4,5,6,8,11,16,76,83,94,96,96
kotlin,graphql,pesado,300,75,POST,playlistsPorMusica,2161,0,4,7.419910258675647,1.7713729998831695,98.12445499983367,91.0,36.53229194197292,0.0,4,5,7,7,11,16,79,86,97,98,98
kotlin,graphql,pesado,300,75,POST,todasAsMusicas,2251,0,4,7.772960510882824,1.749370999959865,97.63411099993392,91.0,38.05376638657151,0.0,4,5,7,8,11,17,78,85,93,98,98
kotlin,graphql,pesado,300,75,POST,todosUsuarios,2150,0,4,7.280561634420971,1.7821179999373271,97.28718399992432,91.0,36.34633395429975,0.0,4,5,6,7,11,16,75,83,94,97,97
kotlin,graphql,pesado,300,75,,Aggregated,8741,0,4,7.437524855737712,1.749370999959865,98.12445499983367,91.0,147.7689791137368,0.0,4,5,6,7,11,16,77,84,96,98,98
java,rest,pesado,300,75,POST,playlist-musica,2133,0,4,31.66291005391352,1.6953370000010182,980.0544249999348,1381.0,35.993414478209814,0.0,4,7,9,11,39,210,410,560,870,980,980
java,rest,pesado,300,75,POST,playlist-usuario,2133,0,4,31.518534372714623,1.5225829999963023,1286.9514550000076,279.0,35.993414478209814,0.0,4,6,8,11,37,210,410,620,1200,1300,1300
java,rest,pesado,300,75,GET,todas-musicas,2149,0,9,34.50369652163927,2.6291420000461585,1295.1023190000797,54674.0,36.2634072731706,0.0,9,14,18,22,50,170,410,550,770,1300,1300
java,rest,pesado,300,75,GET,todos-usuarios,2206,0,67,115.44668531958204,27.67610099999729,1294.132692000062,344303.0,37.225256605218405,0.0,67,95,120,140,220,380,630,770,1200,1300,1300
java,rest,pesado,300,75,,Aggregated,8621,0,9,53.7744870202993,1.5225829999963023,1295.1023190000797,102142.16726597842,145.47549283480862,0.0,9,31,49,63,140,260,450,640,1200,1300,1300
kotlin,soap,pesado,300,75,POST,SOAP_getPlaylistsByMusica,2139,0,6,17.57962997896433,2.5429100001019838,480.5080959999941,660.0,36.123154771006064,0.0,6,9,11,14,25,62,190,250,450,480,480
kotlin,soap,pesado,300,75,POST,SOAP_getPlaylistsByUsuario,2215,0,6,15.794359937247464,2.477904999977909,496.69857100002446,361.0,37.40663292088753,0.0,6,8,11,12,20,43,160,250,490,500,500
kotlin,soap,pesado,300,75,POST,SOAP_getTodasMusicas,2176,0,22,39.52485403170692,9.364808999862362,562.5270589998763,114042.0,36.74800597555362,0.0,22,29,37,44,76,130,250,340,520,560,560
kotlin,soap,pesado,300,75,POST,SOAP_getTodosUsuarios,2147,0,23,41.898004287843605,9.241428999985146,551.6884240000763,104144.0,36.25825773415148,0.0,23,32,41,48,77,140,280,340,500,550,550
kotlin,soap,pesado,300,75,,Aggregated,8677,0,14,28.644512315892868,2.477904999977909,562.5270589998763,54623.01659559755,146.53605140159868,0.0,14,20,26,32,57,100,230,320,490,560,560
kotlin,rest,pesado,300,75,POST,playlist-musica,2044,0,5,67.00154289187736,1.783883999905811,2471.116473999928,1378.0,34.329746688800945,0.0,5,7,10,14,72,320,960,1700,2200,2500,2500
kotlin,rest,pesado,300,75,POST,playlist-usuario,2131,0,4,65.74649194134301,1.5549170000213053,2408.2515630000216,279.0,35.790944321837,0.0,4,7,10,13,73,300,970,1900,2100,2400,2400
kotlin,rest,pesado,300,75,GET,todas-musicas,2106,0,8,77.42263433190814,2.6559079999515234,2491.2911909998456,54732.0,35.37105994452779,0.0,8,14,19,26,110,310,1000,1800,2500,2500,2500
kotlin,rest,pesado,300,75,GET,todos-usuarios,2130,0,61,146.26215800281318,26.20866200004457,2569.7831009999845,344565.0,35.774148946744624,0.0,61,89,120,140,270,500,1100,1800,2500,2600,2600
kotlin,rest,pesado,300,75,,Aggregated,8411,0,9,89.36480709154554,1.5549170000213053,2569.7831009999845,101367.2836761384,141.26589990191036,0.0,9,34,51,66,160,370,1000,1800,2400,2600,2600
java,soap,medio,200,30,POST,SOAP_getPlaylistsByMusica,1398,0,5,10.931292228899194,2.528108999968026,198.06526899992605,460.0,23.611651966671168,0.0,5,7,10,11,21,41,75,110,180,200,200
java,soap,medio,200,30,POST,SOAP_getPlaylistsByUsuario,1443,0,5,11.11720109910016,2.4975809999432386,204.15398499994808,359.0,24.37168368233655,0.0,5,7,9,11,22,44,77,110,160,200,200
java,soap,medio,200,30,POST,SOAP_getTodasMusicas,1427,0,19,32.43172163629995,9.40241699993294,344.52087800002573,113923.0,24.101450183433304,0.0,19,26,33,39,62,110,160,210,340,340,340
java,soap,medio,200,30,POST,SOAP_getTodosUsuarios,1402,0,19,31.60895723466597,9.201046999919528,394.7182550000434,104036.0,23.67921034139698,0.0,19,25,32,37,56,93,160,220,380,390,390
java,soap,medio,200,30,,Aggregated,5670,0,12,21.502626550265283,2.4975809999432386,394.7182550000434,54601.00705467372,95.763996173838,0.0,12,18,22,27,46,71,130,170,340,390,390
java,graphql,medio,200,30,POST,playlistsDoUsuario,1145,0,4,6.375610262881909,1.8406990000130463,73.2004760000109,91.0,19.234711479633,0.0,4,5,7,7,11,16,41,46,70,73,73
java,graphql,medio,200,30,POST,playlistsPorMusica,2240,0,4,6.3967030406239065,1.855316000046514,69.79625099995701,91.0,37.62947922653093,0.0,4,5,7,8,11,18,40,46,68,70,70
java,graphql,medio,200,30,POST,todasAsMusicas,1175,0,4,6.248454904680136,1.8070520000037504,68.83347099994808,91.0,19.73867771927404,0.0,4,5,7,8,11,17,37,44,57,69,69
java,graphql,medio,200,30,POST,todosUsuarios,1182,0,4,6.624717351100752,1.8515310000566387,65.18076400004702,91.0,19.856269841856943,0.0,4,5,6,7,11,23,41,46,64,65,65
java,graphql,medio,200,30,,Aggregated,5742,0,4,6.409097698362549,1.8070520000037504,73.2004760000109,91.0,96.45913826729492,0.0,4,5,7,8,11,18,39,46,68,73,73
kotlin,graphql,medio,200,30,POST,playlistsDoUsuario,1428,0,5,7.888880739494048,1.8154020001475144,95.13029899994764,91.0,24.132116087388383,0.0,5,8,9,10,13,19,41,55,92,95,95
kotlin,graphql,medio,200,30,POST,playlistsPorMusica,1446,0,5,7.828171607879435,1.823762999947576,85.91683200006628,91.0,24.436302424624373,0.0,5,8,9,10,13,19,42,51,85,86,86
kotlin,graphql,medio,200,30,POST,todasAsMusicas,1334,0,5,7.49648929760271,1.8571820000943264,115.4100290000315,91.0,22.543587437378225,0.0,5,7,9,10,13,18,39,46,84,120,120
